entry_time,exit_time,position,entry_price,exit_price,size,pnl,exit_reason,bars_held,market_conditions,daily_pnl,trades_today,balance
2025-06-09 13:30:00,2025-06-09 14:00:00,BUY,3312.66,3316.59,0.01,39.3,take_profit,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121888523293e-08, 'scaled_prediction': 2.4420609442616466e-05}",78.6,114,480.28836646884173
2025-06-09 14:15:00,2025-06-09 15:00:00,BUY,3318.24,3315.61,0.01,-26.3,stop_loss,5,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121880205193e-08, 'scaled_prediction': 2.4420609401025963e-05}",-52.6,115,453.9883664688417
2025-06-09 15:15:00,2025-06-09 16:00:00,BUY,3318.09,3315.76,0.01,-23.3,stop_loss,5,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.8841218863230954e-08, 'scaled_prediction': 2.4420609431615477e-05}",-46.6,116,430.6883664688417
2025-06-09 16:15:00,2025-06-09 16:45:00,BUY,3313.53,3319.05,0.01,55.2,take_profit,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121880436348e-08, 'scaled_prediction': 2.442060940218174e-05}",110.4,117,485.8883664688417
2025-06-09 17:00:00,2025-06-09 17:15:00,BUY,3325.57,3321.76,0.01,-38.1,stop_loss,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121882749996e-08, 'scaled_prediction': 2.442060941374998e-05}",-76.2,118,447.7883664688417
2025-06-09 17:30:00,2025-06-09 18:00:00,BUY,3318.35,3323.0,0.01,46.5,take_profit,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121889423102e-08, 'scaled_prediction': 2.4420609447115512e-05}",93.0,119,494.2883664688417
2025-06-09 18:15:00,2025-06-09 18:45:00,BUY,3330.39,3328.71,0.01,-16.8,stop_loss,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.8841218780464354e-08, 'scaled_prediction': 2.4420609390232178e-05}",-33.6,120,477.48836646884166
2025-06-09 19:00:00,2025-06-09 19:15:00,BUY,3329.62,3332.85,0.01,32.3,take_profit,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121882027149e-08, 'scaled_prediction': 2.4420609410135744e-05}",64.6,121,509.7883664688417
2025-06-09 19:30:00,2025-06-09 19:45:00,BUY,3333.03,3337.79,0.01,47.6,take_profit,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.8841218800049926e-08, 'scaled_prediction': 2.4420609400024963e-05}",95.2,122,557.3883664688417
2025-06-09 20:45:00,2025-06-09 22:15:00,BUY,3333.72,3331.5,0.01,-22.2,stop_loss,11,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 1.728828502039788e-07, 'scaled_prediction': 8.64414251019894e-05}",-44.4,123,535.1883664688417
2025-06-09 22:45:00,2025-06-09 23:15:00,BUY,3326.97,3325.54,0.01,-14.3,stop_loss,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 1.3123911049074996e-07, 'scaled_prediction': 6.561955524537498e-05}",-28.6,124,520.8883664688417
2025-06-09 23:45:00,2025-06-10 01:30:00,BUY,3325.65,3322.33,0.01,-33.2,stop_loss,5,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.9445516101840256e-08, 'scaled_prediction': 2.472275805092013e-05}",-66.4,125,487.6883664688417
2025-06-10 01:45:00,2025-06-10 02:15:00,BUY,3323.55,3326.12,0.01,25.7,take_profit,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 2.7403040432794406e-07, 'scaled_prediction': 0.00013701520216397202}",51.4,126,513.3883664688417
